Code,Index,Market cap (m TL)
25.08.1997, 19 ," 6,638 "
26.08.1997, 19 ," 6,573 "
27.08.1997, 19 ," 6,571 "
28.08.1997, 19 ," 6,768 "
29.08.1997, 19 ," 6,788 "
1.09.1997, 19 ," 6,772 "
2.09.1997, 20 ," 6,923 "
3.09.1997, 20 ," 7,051 "
4.09.1997, 21 ," 7,229 "
5.09.1997, 21 ," 7,345 "
8.09.1997, 22 ," 7,596 "
9.09.1997, 22 ," 7,707 "
10.09.1997, 22 ," 7,855 "
11.09.1997, 22 ," 8,003 "
12.09.1997, 23 ," 8,046 "
15.09.1997, 23 ," 8,224 "
16.09.1997, 23 ," 8,232 "
17.09.1997, 24 ," 8,366 "
18.09.1997, 23 ," 8,335 "
19.09.1997, 23 ," 8,253 "
22.09.1997, 23 ," 8,301 "
23.09.1997, 24 ," 8,345 "
24.09.1997, 24 ," 8,667 "
25.09.1997, 25 ," 8,878 "
26.09.1997, 25 ," 8,979 "
29.09.1997, 26 ," 9,092 "
30.09.1997, 25 ," 8,955 "
1.10.1997, 25 ," 8,906 "
2.10.1997, 26 ," 9,394 "
3.10.1997, 27 ," 9,542 "
6.10.1997, 28 ," 9,761 "
7.10.1997, 28 ," 9,802 "
8.10.1997, 29 ," 10,125 "
9.10.1997, 29 ," 10,172 "
10.10.1997, 29 ," 10,158 "
13.10.1997, 30 ," 10,454 "
14.10.1997, 31 ," 10,856 "
15.10.1997, 31 ," 10,788 "
16.10.1997, 32 ," 10,956 "
17.10.1997, 33 ," 11,632 "
20.10.1997, 33 ," 11,591 "
21.10.1997, 33 ," 11,636 "
22.10.1997, 34 ," 11,872 "
23.10.1997, 34 ," 11,954 "
24.10.1997, 34 ," 11,858 "
27.10.1997, 30 ," 10,488 "
28.10.1997, 28 ," 9,520 "
29.10.1997, 28 ," 9,520 "
30.10.1997, 26 ," 9,113 "
31.10.1997, 28 ," 9,434 "
3.11.1997, 28 ," 9,547 "
4.11.1997, 29 ," 9,999 "
5.11.1997, 31 ," 10,707 "
6.11.1997, 31 ," 10,611 "
7.11.1997, 29 ," 9,998 "
10.11.1997, 29 ," 10,130 "
11.11.1997, 28 ," 9,855 "
12.11.1997, 27 ," 9,449 "
13.11.1997, 26 ," 9,069 "
14.11.1997, 26 ," 8,986 "
17.11.1997, 28 ," 9,699 "
18.11.1997, 29 ," 9,928 "
19.11.1997, 28 ," 9,754 "
20.11.1997, 29 ," 10,018 "
21.11.1997, 30 ," 10,336 "
24.11.1997, 27 ," 9,360 "
25.11.1997, 28 ," 9,575 "
26.11.1997, 28 ," 9,815 "
27.11.1997, 28 ," 9,830 "
28.11.1997, 28 ," 9,706 "
1.12.1997, 28 ," 9,493 "
2.12.1997, 29 ," 9,802 "
3.12.1997, 29 ," 9,973 "
4.12.1997, 30 ," 10,227 "
5.12.1997, 29 ," 9,882 "
8.12.1997, 28 ," 9,500 "
9.12.1997, 28 ," 9,772 "
10.12.1997, 29 ," 9,882 "
11.12.1997, 28 ," 9,538 "
12.12.1997, 28 ," 9,506 "
15.12.1997, 29 ," 9,918 "
16.12.1997, 29 ," 9,887 "
17.12.1997, 29 ," 10,163 "
18.12.1997, 30 ," 10,327 "
19.12.1997, 30 ," 10,680 "
22.12.1997, 31 ," 10,808 "
23.12.1997, 31 ," 10,796 "
24.12.1997, 30 ," 10,630 "
25.12.1997, 30 ," 10,535 "
26.12.1997, 31 ," 10,887 "
29.12.1997, 32 ," 11,400 "
30.12.1997, 33 ," 11,895 "
31.12.1997, 33 ," 11,771 "
1.01.1998, 33 ," 11,771 "
2.01.1998, 33 ," 11,771 "
5.01.1998, 35 ," 12,648 "
6.01.1998, 35 ," 12,479 "
7.01.1998, 35 ," 12,562 "
8.01.1998, 34 ," 12,345 "
9.01.1998, 34 ," 12,277 "
12.01.1998, 31 ," 11,017 "
13.01.1998, 33 ," 11,804 "
14.01.1998, 32 ," 11,309 "
15.01.1998, 32 ," 11,366 "
16.01.1998, 32 ," 11,694 "
19.01.1998, 34 ," 12,172 "
20.01.1998, 33 ," 12,100 "
21.01.1998, 34 ," 12,273 "
22.01.1998, 33 ," 12,051 "
23.01.1998, 33 ," 12,114 "
26.01.1998, 34 ," 12,336 "
27.01.1998, 34 ," 12,368 "
28.01.1998, 34 ," 12,538 "
29.01.1998, 34 ," 12,538 "
30.01.1998, 34 ," 12,538 "
2.02.1998, 32 ," 11,915 "
3.02.1998, 31 ," 11,441 "
4.02.1998, 29 ," 10,626 "
5.02.1998, 29 ," 10,332 "
6.02.1998, 29 ," 10,311 "
9.02.1998, 27 ," 9,761 "
10.02.1998, 27 ," 9,487 "
11.02.1998, 28 ," 9,962 "
12.02.1998, 29 ," 10,194 "
13.02.1998, 29 ," 10,199 "
16.02.1998, 29 ," 10,349 "
17.02.1998, 30 ," 10,686 "
18.02.1998, 30 ," 10,689 "
19.02.1998, 28 ," 9,941 "
20.02.1998, 29 ," 10,189 "
23.02.1998, 32 ," 11,368 "
24.02.1998, 31 ," 11,134 "
25.02.1998, 32 ," 11,445 "
26.02.1998, 33 ," 11,675 "
27.02.1998, 31 ," 11,199 "
2.03.1998, 32 ," 11,531 "
3.03.1998, 32 ," 11,564 "
4.03.1998, 32 ," 11,476 "
5.03.1998, 33 ," 11,823 "
6.03.1998, 33 ," 12,031 "
9.03.1998, 34 ," 12,203 "
10.03.1998, 34 ," 12,247 "
11.03.1998, 34 ," 12,229 "
12.03.1998, 34 ," 12,100 "
13.03.1998, 33 ," 11,766 "
16.03.1998, 33 ," 11,700 "
17.03.1998, 33 ," 11,788 "
18.03.1998, 32 ," 11,429 "
19.03.1998, 31 ," 11,274 "
20.03.1998, 32 ," 11,308 "
23.03.1998, 32 ," 11,417 "
24.03.1998, 31 ," 11,294 "
25.03.1998, 32 ," 11,537 "
26.03.1998, 32 ," 11,726 "
27.03.1998, 32 ," 11,611 "
30.03.1998, 31 ," 11,304 "
31.03.1998, 32 ," 11,465 "
1.04.1998, 32 ," 11,481 "
2.04.1998, 33 ," 11,766 "
3.04.1998, 34 ," 12,137 "
6.04.1998, 34 ," 12,137 "
7.04.1998, 34 ," 12,137 "
8.04.1998, 34 ," 12,137 "
9.04.1998, 34 ," 12,137 "
10.04.1998, 34 ," 12,137 "
13.04.1998, 35 ," 12,823 "
14.04.1998, 36 ," 12,859 "
15.04.1998, 37 ," 13,470 "
16.04.1998, 39 ," 14,211 "
17.04.1998, 40 ," 14,669 "
20.04.1998, 40 ," 14,580 "
21.04.1998, 41 ," 15,171 "
22.04.1998, 42 ," 15,544 "
23.04.1998, 42 ," 15,516 "
24.04.1998, 39 ," 14,516 "
27.04.1998, 39 ," 14,324 "
28.04.1998, 37 ," 13,830 "
29.04.1998, 38 ," 14,236 "
30.04.1998, 40 ," 15,065 "
1.05.1998, 41 ," 15,218 "
4.05.1998, 41 ," 15,484 "
5.05.1998, 41 ," 15,433 "
6.05.1998, 41 ," 15,366 "
7.05.1998, 40 ," 15,048 "
8.05.1998, 41 ," 15,554 "
11.05.1998, 41 ," 15,806 "
12.05.1998, 41 ," 15,672 "
13.05.1998, 41 ," 15,822 "
14.05.1998, 41 ," 15,708 "
15.05.1998, 40 ," 15,446 "
18.05.1998, 39 ," 14,884 "
19.05.1998, 39 ," 14,884 "
20.05.1998, 40 ," 15,182 "
21.05.1998, 40 ," 15,401 "
22.05.1998, 40 ," 15,491 "
25.05.1998, 40 ," 14,830 "
26.05.1998, 39 ," 14,541 "
27.05.1998, 36 ," 13,473 "
28.05.1998, 37 ," 13,725 "
29.05.1998, 37 ," 13,615 "
1.06.1998, 35 ," 13,075 "
2.06.1998, 37 ," 13,566 "
3.06.1998, 37 ," 13,548 "
4.06.1998, 39 ," 14,396 "
5.06.1998, 40 ," 14,535 "
8.06.1998, 41 ," 14,830 "
9.06.1998, 40 ," 14,640 "
10.06.1998, 39 ," 14,392 "
11.06.1998, 39 ," 14,426 "
12.06.1998, 39 ," 14,433 "
15.06.1998, 37 ," 13,555 "
16.06.1998, 38 ," 13,971 "
17.06.1998, 40 ," 14,483 "
18.06.1998, 39 ," 14,217 "
19.06.1998, 39 ," 14,314 "
22.06.1998, 38 ," 13,988 "
23.06.1998, 39 ," 14,420 "
24.06.1998, 39 ," 14,497 "
25.06.1998, 40 ," 14,646 "
26.06.1998, 39 ," 14,520 "
29.06.1998, 40 ," 14,935 "
30.06.1998, 40 ," 14,852 "
1.07.1998, 40 ," 14,868 "
2.07.1998, 42 ," 15,427 "
3.07.1998, 44 ," 16,074 "
6.07.1998, 44 ," 16,143 "
7.07.1998, 43 ," 16,182 "
8.07.1998, 44 ," 16,291 "
9.07.1998, 43 ," 15,908 "
10.07.1998, 42 ," 15,745 "
13.07.1998, 41 ," 15,323 "
14.07.1998, 43 ," 15,866 "
15.07.1998, 43 ," 15,993 "
16.07.1998, 44 ," 16,328 "
17.07.1998, 44 ," 16,229 "
20.07.1998, 44 ," 16,052 "
21.07.1998, 43 ," 15,683 "
22.07.1998, 43 ," 15,665 "
23.07.1998, 43 ," 15,672 "
24.07.1998, 42 ," 15,362 "
27.07.1998, 42 ," 15,540 "
28.07.1998, 42 ," 15,410 "
29.07.1998, 41 ," 15,236 "
30.07.1998, 42 ," 15,425 "
31.07.1998, 42 ," 15,537 "
3.08.1998, 42 ," 15,296 "
4.08.1998, 41 ," 14,890 "
5.08.1998, 39 ," 14,241 "
6.08.1998, 38 ," 14,081 "
7.08.1998, 39 ," 14,224 "
10.08.1998, 37 ," 13,285 "
11.08.1998, 34 ," 12,267 "
12.08.1998, 35 ," 12,777 "
13.08.1998, 33 ," 11,990 "
14.08.1998, 33 ," 12,312 "
17.08.1998, 31 ," 11,630 "
18.08.1998, 32 ," 11,870 "
19.08.1998, 33 ," 12,216 "
20.08.1998, 35 ," 12,835 "
21.08.1998, 33 ," 12,280 "
24.08.1998, 32 ," 12,099 "
25.08.1998, 32 ," 12,062 "
26.08.1998, 30 ," 11,053 "
27.08.1998, 26 ," 9,682 "
28.08.1998, 26 ," 9,820 "
31.08.1998, 26 ," 9,641 "
1.09.1998, 25 ," 9,229 "
2.09.1998, 26 ," 9,662 "
3.09.1998, 25 ," 9,204 "
4.09.1998, 26 ," 9,589 "
7.09.1998, 26 ," 9,613 "
8.09.1998, 26 ," 9,713 "
9.09.1998, 25 ," 9,451 "
10.09.1998, 24 ," 9,045 "
11.09.1998, 23 ," 8,529 "
14.09.1998, 23 ," 8,461 "
15.09.1998, 22 ," 8,097 "
16.09.1998, 21 ," 7,830 "
17.09.1998, 19 ," 7,217 "
18.09.1998, 22 ," 8,437 "
21.09.1998, 21 ," 8,062 "
22.09.1998, 23 ," 8,906 "
23.09.1998, 23 ," 9,115 "
24.09.1998, 26 ," 9,960 "
25.09.1998, 23 ," 8,826 "
28.09.1998, 23 ," 8,870 "
29.09.1998, 23 ," 9,066 "
30.09.1998, 22 ," 8,662 "
1.10.1998, 21 ," 7,958 "
2.10.1998, 21 ," 7,999 "
5.10.1998, 19 ," 7,300 "
6.10.1998, 19 ," 7,428 "
7.10.1998, 18 ," 7,134 "
8.10.1998, 18 ," 7,118 "
9.10.1998, 19 ," 7,470 "
12.10.1998, 21 ," 8,254 "
13.10.1998, 21 ," 7,999 "
14.10.1998, 20 ," 7,618 "
15.10.1998, 19 ," 7,560 "
16.10.1998, 19 ," 7,590 "
19.10.1998, 20 ," 7,622 "
20.10.1998, 21 ," 8,141 "
21.10.1998, 22 ," 8,272 "
22.10.1998, 21 ," 8,219 "
23.10.1998, 22 ," 8,465 "
26.10.1998, 22 ," 8,300 "
27.10.1998, 22 ," 8,268 "
28.10.1998, 21 ," 8,142 "
29.10.1998, 21 ," 8,142 "
30.10.1998, 21 ," 8,142 "
2.11.1998, 22 ," 8,397 "
3.11.1998, 23 ," 8,867 "
4.11.1998, 25 ," 9,488 "
5.11.1998, 24 ," 9,022 "
6.11.1998, 25 ," 9,512 "
9.11.1998, 24 ," 9,341 "
10.11.1998, 24 ," 9,253 "
11.11.1998, 21 ," 7,912 "
12.11.1998, 20 ," 7,835 "
13.11.1998, 20 ," 7,839 "
16.11.1998, 22 ," 8,487 "
17.11.1998, 21 ," 8,200 "
18.11.1998, 21 ," 8,032 "
19.11.1998, 22 ," 8,273 "
20.11.1998, 22 ," 8,571 "
23.11.1998, 25 ," 9,464 "
24.11.1998, 23 ," 8,739 "
25.11.1998, 24 ," 9,156 "
26.11.1998, 25 ," 9,528 "
27.11.1998, 25 ," 9,673 "
30.11.1998, 25 ," 9,611 "
1.12.1998, 24 ," 9,335 "
2.12.1998, 25 ," 9,747 "
3.12.1998, 25 ," 9,767 "
4.12.1998, 24 ," 9,578 "
7.12.1998, 24 ," 9,393 "
8.12.1998, 24 ," 9,327 "
9.12.1998, 23 ," 8,964 "
10.12.1998, 23 ," 9,093 "
11.12.1998, 23 ," 9,116 "
14.12.1998, 24 ," 9,233 "
15.12.1998, 24 ," 9,197 "
16.12.1998, 22 ," 8,660 "
17.12.1998, 22 ," 8,447 "
18.12.1998, 23 ," 8,858 "
21.12.1998, 23 ," 9,121 "
22.12.1998, 23 ," 9,175 "
23.12.1998, 24 ," 9,339 "
24.12.1998, 24 ," 9,422 "
25.12.1998, 25 ," 9,809 "
28.12.1998, 25 ," 9,710 "
29.12.1998, 25 ," 9,703 "
30.12.1998, 25 ," 9,565 "
31.12.1998, 25 ," 9,816 "
1.01.1999, 25 ," 9,816 "
4.01.1999, 27 ," 10,360 "
5.01.1999, 27 ," 10,515 "
6.01.1999, 28 ," 10,803 "
7.01.1999, 27 ," 10,307 "
8.01.1999, 26 ," 10,275 "
11.01.1999, 26 ," 10,028 "
12.01.1999, 26 ," 10,014 "
13.01.1999, 24 ," 9,210 "
14.01.1999, 25 ," 9,692 "
15.01.1999, 24 ," 9,483 "
18.01.1999, 24 ," 9,483 "
19.01.1999, 24 ," 9,483 "
20.01.1999, 24 ," 9,483 "
21.01.1999, 24 ," 9,483 "
22.01.1999, 24 ," 9,483 "
25.01.1999, 23 ," 9,140 "
26.01.1999, 24 ," 9,303 "
27.01.1999, 25 ," 9,735 "
28.01.1999, 24 ," 9,602 "
29.01.1999, 25 ," 9,777 "
1.02.1999, 26 ," 10,032 "
2.02.1999, 25 ," 9,893 "
3.02.1999, 26 ," 10,045 "
4.02.1999, 27 ," 10,511 "
5.02.1999, 26 ," 10,335 "
8.02.1999, 27 ," 10,522 "
