Month,CPI (%YOY)
April-21, 17.14 
May-21, 16.59 
June-21, 17.53 
July-21, 18.95 
August-21, 19.25 
September-21, 19.58 
October-21, 19.89 
November-21, 19.31 
December-21, 23.85 
January-22, 29.75 
February-22, 34.06 
March-22, 40.47 
April-22, 46.44 
May-22, 57.92 
June-22, 64.59 
July-22, 69.94 
August-22, 70.60 
September-22, 67.73 
